e;PDF;ec6;pdfc6;dC;LC;dS;LS;dCH;LCH;dIP;LIP
;;;;74.477727;1.773076695;263.041058;1.772889867;126.435414;1.772943397;168.263501;1.773408335
;;;;75.122757;1.784426994;264.350841;1.783821458;126.912396;1.78436967;168.908072;1.784446259
;;;;75.436149;1.795403689;265.659845;1.795225704;127.887966;1.795670652;169.718804;1.795463775
;;;;76.081092;1.806806765;266.637083;1.806333301;128.531759;1.80668219;170.363264;1.806568485
;;;;76.394401;1.817833811;267.946697;1.817367288;129.009997;1.817346714;171.340101;1.81759915
;;;;77.040095;1.828782032;269.090041;1.828488569;129.653684;1.828423103;172.316883;1.828663337
;;;;77.354162;1.839349618;270.565759;1.839536462;130.46425;1.839042966;173.29361;1.839761048
;;;;77.832723;1.850907554;271.875207;1.850671655;130.940892;1.850675122;174.104065;1.850945889
;;;;78.14587;1.862033044;273.185335;1.861393942;131.75063;1.86179735;175.080681;1.862110618
;;;;78.458976;1.87318312;274.161503;1.873150091;132.394098;1.873006102;175.725543;1.872972264
;;;;79.104466;1.884254733;275.636999;1.88433306;132.872024;1.883860076;176.536569;1.883811292
;;;;79.417491;1.895454054;276.780752;1.895206029;133.6816;1.895080401;177.346071;1.895573587
;;;;79.896687;1.90662651;278.256884;1.90600354;134.324906;1.906387145;178.323207;1.906423554
;;;;80.210483;1.917358537;279.566001;1.917338601;134.801942;1.917780195;179.466506;1.917251155
;;;;80.854958;1.929045404;280.709598;1.928306383;135.612826;1.92820752;179.944151;1.928773189
;;;;81.002464;1.939875793;281.686176;1.939814022;135.924281;1.939269909;181.087346;1.939664076
;;;;81.4815;1.951145706;283.162098;1.95073901;136.73359;1.950652029;181.731844;1.950745901
;;;;81.959636;1.962961248;284.470241;1.962664531;137.37663;1.96212039;182.874188;1.962152555
;;;;82.274099;1.973288723;285.448926;1.972895265;138.021103;1.972719624;183.684797;1.973244286
;;;;82.753878;1.984108377;286.758478;1.983967096;138.664037;1.984251641;184.329893;1.983964014
;;;;83.067407;1.99500168;288.234193;1.995017157;139.307666;1.995363183;185.141157;1.994659084
;;;;83.722851;2.000040963;289.721305;1.999159757;139.630809;1.999341182;186.46009;1.999725166
;;;;;0;;0;;0;;0
;;;;83.555888;2.000092111;289.719345;1.999621999;139.959194;2.000143366;186.292149;1.999778286
;;;;83.721349;2.000040963;290.714673;1.999766317;140.289825;1.999583413;186.789068;1.999618926
;;;;84.053022;1.999938666;290.87969;1.999713321;140.453493;1.999530468;186.952801;2.000023727
;;;;84.218483;1.999887517;291.542588;1.999963695;140.782626;1.999878648;187.44972;1.999864373
;;;;84.05152;1.999938666;292.040035;1.999804714;140.946294;1.999825705;187.780424;1.999758136
;;;;84.216981;1.999887517;292.537481;1.999645732;140.777532;1.999878648;188.111128;1.9996519
;;;;84.547788;2.000309901;293.034928;1.999486751;140.9412;1.999825705;188.108647;2.00010988
;;;;84.547037;2.000309901;293.365396;1.999843185;141.271083;1.999719818;188.439351;2.000003647
;;;;84.879576;1.999682924;293.530413;1.999790193;141.43475;1.999666874;188.770055;1.999897414
;;;;84.711747;2.000258755;294.027097;2.000093693;141.432203;1.999666874;188.934544;1.999844297
;;;;84.877208;2.000207608;294.524543;1.999934722;141.595871;1.999613931;189.431463;1.999684948
